Name,Production,Transportation
Natural gas,GasPartition,GasDistribution
Upgrader proc. gas,,
NGL,NGL,LNGTransport
Diluent,,DiluentTransport
Crude oil,CrudeOilStorage,CrudeOilTransportation
Diesel,,
Residual fuel,,
Pet. coke,,PetrocokeTransport
Electricity,SteamGeneration,
