material,gco2_per_kg,mj_per_kg
Barite,282.458033501317,3.3783671889202
Bentonite clay,31.471592226739002,0.4479850555946286
Deisel drilling fluid additive,616.4,10.105
Portland cement,1226.9820566046296,5.483082570670919
Sand,4.397009705190001,0.054609796809438046
"Steel, low alloy",2747.8545357015,27.747516767549897
"Steel, unalloyed",2276.707202466899,22.136643543264725
Iron ore (hematite),5.984903101302801,0.07297744962323126
