python_name,Type,Field 0,Field 1,Field 2,Field 3,Field 21,Field 20,Field 6,Field 22,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18,Field 19,Field 3203,Field 3317,Field 1289,Field 2219
WIR,float,3.477235171,3.025808595,6.988459821,1.851127149,1.969472666,4.305739696,6.988459821,6.519354346,8.538766082,5.856594476,2.214857477,6.293111614,4.666000289,2.090692833,26.45365165,4.483708533,1.197715205,6.988459821,5.440535243,6.988459821,4.305739696,20.16458218,20.16458218,1.097671368
GLIR,float,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8
GFIR,float,937728,99792000,17195.1974,126957600,57618000,20954736,21906.61075,189215.0171,33580800,31600800,434029.7739,87397200,27793.77153,68662.44295,560221200,36307.54286,23237.14935,187917444,40075200,35743.60285,1456.58453,395.2960603,43584.84987,9558.332454
flood_gas_type,str,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
SOR,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fraction_elec_onsite,float,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
fraction_remaining_gas_inj,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5
fraction_water_reinjected,float,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
fraction_steam_cogen,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fraction_steam_solar,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stabilizer_column,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
upgrader_type,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
gas_processing_path,str,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas,Acid Wet Gas
FOR,float,2.262716687,1784.830185,0.076551171,0,0,2814.436912,0.100028183,343.5899727,0,75.52713925,2540.075288,95246.4066,102.1186513,1.204350173,37319025.39,417.2646043,0.623589959,449.1299891,209894.1017,0.138559344,0.141475955,21.54221725,120.5703634,461.1280885
frac_venting,float,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
frac_transport_tanker,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frac_transport_barge,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frac_transport_pipeline,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frac_transport_rail,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frac_transport_truck,float,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
transport_dist_tanker,float,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
transport_dist_barge,float,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
transport_dist_pipeline,float,1000,1000,1000,1000,124.895571,7.456452,1000,1000,93.20565,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5.9651616,1000,73.0110925,30.80136047
transport_dist_rail,float,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
transport_dist_truck,float,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
oil_sands_mine,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
oil_processing_path,str,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Stabilization,Storage,Stabilization,Stabilization
common_gas_process_choice,str,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
frac_CO2_breakthrough,str,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
ecosystem_richness,str,Low carbon,Med carbon,Med carbon,Med carbon,Low carbon,Low carbon,Med carbon,Med carbon,Med carbon,Low carbon,Med carbon,Med carbon,Med carbon,Med carbon,Med carbon,Med carbon,Med carbon,Med carbon,Med carbon,Med carbon,Low carbon,Med carbon,Med carbon,Med carbon
field_development_intensity,str,Low,Med,Med,Med,Low,Low,Med,Med,Med,Low,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Low,Med,Med,Med
num_water_inj_wells,int,,,,,,,,,,,,,5,,14,,,,,,1030,33738,117,37
