analysis,field,node,CI
test-fields,Field 14,TransportationBoundary,0.0
test-fields,Field 14,DistributionBoundary,0.0
test-fields,Field 15,ExplorationAndDrilling,1.2378392112532424
test-fields,Field 15,ProductionExtraction,5.840025638860816
test-fields,Field 15,SurfaceProcessing,0.0
test-fields,Field 15,TransportAndStorage,0.0
test-fields,Field 15,LiquifiedNaturalGas,0.0
test-fields,Field 15,After,0.0
test-fields,Field 15,ProductionBoundary,0.0
test-fields,Field 15,TransportationBoundary,0.0
test-fields,Field 15,DistributionBoundary,0.0
test-fields,Field 16,ExplorationAndDrilling,1.2600774734496494
test-fields,Field 16,ProductionExtraction,4.861590997548942
test-fields,Field 16,SurfaceProcessing,0.0
test-fields,Field 16,TransportAndStorage,0.0
test-fields,Field 16,LiquifiedNaturalGas,0.0
test-fields,Field 16,After,0.0
test-fields,Field 16,ProductionBoundary,0.0
test-fields,Field 16,TransportationBoundary,0.0
test-fields,Field 16,DistributionBoundary,0.0
test-fields,Field 17,ExplorationAndDrilling,1.2608672254525242
test-fields,Field 17,ProductionExtraction,11.2541557951489
test-fields,Field 17,SurfaceProcessing,0.0
test-fields,Field 17,TransportAndStorage,0.0
test-fields,Field 17,LiquifiedNaturalGas,0.0
test-fields,Field 17,After,0.0
test-fields,Field 17,ProductionBoundary,0.0
test-fields,Field 17,TransportationBoundary,0.0
test-fields,Field 17,DistributionBoundary,0.0
test-fields,Field 18,ExplorationAndDrilling,1.2828493021956202
test-fields,Field 18,ProductionExtraction,9.464804198738065
test-fields,Field 18,SurfaceProcessing,0.0
test-fields,Field 18,TransportAndStorage,0.0
test-fields,Field 18,LiquifiedNaturalGas,0.0
test-fields,Field 18,After,0.0
test-fields,Field 18,ProductionBoundary,0.0
test-fields,Field 18,TransportationBoundary,0.0
test-fields,Field 18,DistributionBoundary,0.0
test-fields,Field 19,ExplorationAndDrilling,1.2459378715745788
test-fields,Field 19,ProductionExtraction,5.575694746484078
test-fields,Field 19,SurfaceProcessing,0.0
test-fields,Field 19,TransportAndStorage,0.0
test-fields,Field 19,LiquifiedNaturalGas,0.0
test-fields,Field 19,After,0.0
test-fields,Field 19,ProductionBoundary,0.0
test-fields,Field 19,TransportationBoundary,0.0
test-fields,Field 19,DistributionBoundary,0.0
test-fields,Field 20,ExplorationAndDrilling,1.2984736384864932
test-fields,Field 20,ProductionExtraction,6.975049476116856
test-fields,Field 20,SurfaceProcessing,0.0
test-fields,Field 20,TransportAndStorage,0.0
test-fields,Field 20,LiquifiedNaturalGas,0.0
test-fields,Field 20,After,0.0
test-fields,Field 20,ProductionBoundary,0.0
test-fields,Field 20,TransportationBoundary,0.0
test-fields,Field 20,DistributionBoundary,0.0
test-fields,Field 21,ExplorationAndDrilling,1.2572508005023664
test-fields,Field 21,ProductionExtraction,5.40459357879015
test-fields,Field 21,SurfaceProcessing,0.0
test-fields,Field 21,TransportAndStorage,0.0
test-fields,Field 21,LiquifiedNaturalGas,0.0
test-fields,Field 21,After,0.0
test-fields,Field 21,ProductionBoundary,0.0
test-fields,Field 21,TransportationBoundary,0.0
test-fields,Field 21,DistributionBoundary,0.0
test-fields,Field 22,ExplorationAndDrilling,1.2774478812416419
test-fields,Field 22,ProductionExtraction,5.226629867486125
test-fields,Field 22,SurfaceProcessing,0.0
test-fields,Field 22,TransportAndStorage,0.0
test-fields,Field 22,LiquifiedNaturalGas,0.0
test-fields,Field 22,After,0.0
test-fields,Field 22,ProductionBoundary,0.0
test-fields,Field 22,TransportationBoundary,0.0
test-fields,Field 22,DistributionBoundary,0.0
test-fields,Field 23,ExplorationAndDrilling,1.2572402788393342
test-fields,Field 23,ProductionExtraction,4.192977775222184
test-fields,Field 23,SurfaceProcessing,0.0
test-fields,Field 23,TransportAndStorage,0.0
test-fields,Field 23,LiquifiedNaturalGas,0.0
test-fields,Field 23,After,0.0
test-fields,Field 23,ProductionBoundary,0.0
test-fields,Field 23,TransportationBoundary,0.0
test-fields,Field 23,DistributionBoundary,0.0
test-fields,Field 24,ExplorationAndDrilling,1.2528306876743545
test-fields,Field 24,ProductionExtraction,5.307892618347044
test-fields,Field 24,SurfaceProcessing,0.0
test-fields,Field 24,TransportAndStorage,0.0
test-fields,Field 24,LiquifiedNaturalGas,0.0
test-fields,Field 24,After,0.0
test-fields,Field 24,ProductionBoundary,0.0
test-fields,Field 24,TransportationBoundary,0.0
test-fields,Field 24,DistributionBoundary,0.0
test-fields,Field 25,ExplorationAndDrilling,1.266824466151934
test-fields,Field 25,ProductionExtraction,4.943592973025579
test-fields,Field 25,SurfaceProcessing,0.0
test-fields,Field 25,TransportAndStorage,0.0
test-fields,Field 25,LiquifiedNaturalGas,0.0
test-fields,Field 25,After,0.0
test-fields,Field 25,ProductionBoundary,0.0
test-fields,Field 25,TransportationBoundary,0.0
test-fields,Field 25,DistributionBoundary,0.0
test-fields,Field 26,ExplorationAndDrilling,1.2903014938049415
test-fields,Field 26,ProductionExtraction,4.356270375770773
test-fields,Field 26,SurfaceProcessing,0.0
test-fields,Field 26,TransportAndStorage,0.0
test-fields,Field 26,LiquifiedNaturalGas,0.0
test-fields,Field 26,After,0.0
test-fields,Field 26,ProductionBoundary,0.0
test-fields,Field 26,TransportationBoundary,0.0
test-fields,Field 26,DistributionBoundary,0.0
test-fields,Field 27,ExplorationAndDrilling,1.2663584188376724
test-fields,Field 27,ProductionExtraction,10.569136744031816
test-fields,Field 27,SurfaceProcessing,0.0
test-fields,Field 27,TransportAndStorage,0.0
test-fields,Field 27,LiquifiedNaturalGas,0.0
test-fields,Field 27,After,0.0
test-fields,Field 27,ProductionBoundary,0.0
test-fields,Field 27,TransportationBoundary,0.0
test-fields,Field 27,DistributionBoundary,0.0
test-fields,Field 28,ExplorationAndDrilling,1.2341305900198376
test-fields,Field 28,ProductionExtraction,2.0470535464786175
test-fields,Field 28,SurfaceProcessing,0.0
test-fields,Field 28,TransportAndStorage,0.0
test-fields,Field 28,LiquifiedNaturalGas,0.0
test-fields,Field 28,After,0.0
test-fields,Field 28,ProductionBoundary,0.0
test-fields,Field 28,TransportationBoundary,0.0
test-fields,Field 28,DistributionBoundary,0.0
test-fields,Field 29,ExplorationAndDrilling,1.2648220460156994
test-fields,Field 29,ProductionExtraction,4.1416197197734075
test-fields,Field 29,SurfaceProcessing,0.0
test-fields,Field 29,TransportAndStorage,0.0
test-fields,Field 29,LiquifiedNaturalGas,0.0
test-fields,Field 29,After,0.0
test-fields,Field 29,ProductionBoundary,0.0
test-fields,Field 29,TransportationBoundary,0.0
test-fields,Field 29,DistributionBoundary,0.0
test-fields,Field 30,ExplorationAndDrilling,1.28258127898578
test-fields,Field 30,ProductionExtraction,3.007156751453097
test-fields,Field 30,SurfaceProcessing,0.0
test-fields,Field 30,TransportAndStorage,0.0
test-fields,Field 30,LiquifiedNaturalGas,0.0
test-fields,Field 30,After,0.0
test-fields,Field 30,ProductionBoundary,0.0
test-fields,Field 30,TransportationBoundary,0.0
test-fields,Field 30,DistributionBoundary,0.0
test-fields,Field 31,ExplorationAndDrilling,1.2513326612087678
test-fields,Field 31,ProductionExtraction,146.3715938610896
test-fields,Field 31,SurfaceProcessing,0.0
test-fields,Field 31,TransportAndStorage,0.0
test-fields,Field 31,LiquifiedNaturalGas,0.0
test-fields,Field 31,After,0.0
test-fields,Field 31,ProductionBoundary,0.0
test-fields,Field 31,TransportationBoundary,0.0
test-fields,Field 31,DistributionBoundary,0.0
test-fields,Field 32,ExplorationAndDrilling,1.2890780519600538
test-fields,Field 32,ProductionExtraction,3.658962183909341
test-fields,Field 32,SurfaceProcessing,0.0
test-fields,Field 32,TransportAndStorage,0.0
test-fields,Field 32,LiquifiedNaturalGas,0.0
test-fields,Field 32,After,0.0
test-fields,Field 32,ProductionBoundary,0.0
test-fields,Field 32,TransportationBoundary,0.0
test-fields,Field 32,DistributionBoundary,0.0
test-fields,Field 33,ExplorationAndDrilling,1.2596351596093789
test-fields,Field 33,ProductionExtraction,8.62889088750672
test-fields,Field 33,SurfaceProcessing,0.0
test-fields,Field 33,TransportAndStorage,0.0
test-fields,Field 33,LiquifiedNaturalGas,0.0
test-fields,Field 33,After,0.0
test-fields,Field 33,ProductionBoundary,0.0
test-fields,Field 33,TransportationBoundary,0.0
test-fields,Field 33,DistributionBoundary,0.0
test-fields,Field 34,ExplorationAndDrilling,1.23329032333271
test-fields,Field 34,ProductionExtraction,4.340938236116145
test-fields,Field 34,SurfaceProcessing,0.0
test-fields,Field 34,TransportAndStorage,0.0
test-fields,Field 34,LiquifiedNaturalGas,0.0
test-fields,Field 34,After,0.0
test-fields,Field 34,ProductionBoundary,0.0
test-fields,Field 34,TransportationBoundary,0.0
test-fields,Field 34,DistributionBoundary,0.0
test-fields,Field 35,ExplorationAndDrilling,1.2600419862078558
test-fields,Field 35,ProductionExtraction,4.761520697110452
test-fields,Field 35,SurfaceProcessing,0.0
test-fields,Field 35,TransportAndStorage,0.0
test-fields,Field 35,LiquifiedNaturalGas,0.0
test-fields,Field 35,After,0.0
test-fields,Field 35,ProductionBoundary,0.0
test-fields,Field 35,TransportationBoundary,0.0
